,VIDEO,ANIMAL,BODY-PART,SHAPE NAME,START TIME,END TIME,START FRAME,END FRAME,DURATION (S)
0,Test_rat09,Animal_1,Nose,1,31.72,33.6,793,839,1.88
1,Test_rat09,Animal_1,Nose,2,13.92,14.08,348,351,0.16
2,Test_rat09,Animal_1,Nose,2,14.12,14.16,353,353,0.04
3,Test_rat09,Animal_1,Nose,2,14.36,14.44,359,360,0.08
4,Test_rat09,Animal_1,Nose,2,14.88,15.08,372,376,0.2
5,Test_rat09,Animal_1,Nose,2,15.12,15.2,378,379,0.08
6,Test_rat09,Animal_1,Nose,2,15.24,15.32,381,382,0.08
7,Test_rat09,Animal_1,Nose,2,30.76,31.44,769,785,0.68
8,Test_rat09,Animal_1,Nose,2,68.32,68.56,1708,1713,0.24
9,Test_rat09,Animal_1,Nose,2,68.6,68.64,1715,1715,0.04
10,Test_rat09,Animal_1,Nose,2,68.68,68.92,1717,1722,0.24
11,Test_rat09,Animal_1,Nose,2,69.16,69.48,1729,1736,0.32
12,Test_rat09,Animal_1,Nose,2,75.76,76.08,1894,1901,0.32
13,Test_rat09,Animal_1,Nose,2,76.12,76.56,1903,1913,0.44
14,Test_rat09,Animal_1,Nose,2,76.88,77.08,1922,1926,0.2
15,Test_rat09,Animal_1,Nose,2,77.12,77.44,1928,1935,0.32
16,Test_rat09,Animal_1,Nose,3,30.12,30.52,753,762,0.4
17,Test_rat09,Animal_1,Nose,4,29.24,29.88,731,746,0.64
18,Test_rat09,Animal_1,Nose,5,27.76,28.96,694,723,1.2
19,Test_rat09,Animal_1,Nose,6,26.04,27.52,651,687,1.48
20,Test_rat09,Animal_1,Nose,7,24.44,25.56,611,638,1.12
21,Test_rat09,Animal_1,Nose,7,54.52,54.88,1363,1371,0.36
22,Test_rat09,Animal_1,Nose,7,55.16,55.2,1379,1379,0.04
23,Test_rat09,Animal_1,Nose,8,22.28,24.08,557,601,1.8
24,Test_rat09,Animal_1,Nose,8,52.92,53.96,1323,1348,1.04
25,Test_rat09,Animal_1,Nose,9,19.56,22.04,489,550,2.48
26,Test_rat09,Animal_1,Nose,9,51.12,51.68,1278,1291,0.56
27,Test_rat09,Animal_1,Nose,10,8.4,11.08,210,276,2.68
28,Test_rat09,Animal_1,Nose,10,17.08,18.32,427,457,1.24
29,Test_rat09,Animal_1,Nose,10,18.36,18.48,459,461,0.12
30,Test_rat09,Animal_1,Nose,10,18.76,19.16,469,478,0.4
