,VIDEO,ANIMAL,BODY-PART,SHAPE NAME,START TIME,END TIME,START FRAME,END FRAME,DURATION (S)
0,Test_rat09,Animal_1,Ear_right,1,31.96,33.76,799,843,1.8
1,Test_rat09,Animal_1,Ear_right,2,30.92,31.72,773,792,0.8
2,Test_rat09,Animal_1,Ear_right,3,30.2,30.68,755,766,0.48
3,Test_rat09,Animal_1,Ear_right,4,29.4,30.04,735,750,0.64
4,Test_rat09,Animal_1,Ear_right,5,27.88,29.12,697,727,1.24
5,Test_rat09,Animal_1,Ear_right,6,26.16,27.64,654,690,1.48
6,Test_rat09,Animal_1,Ear_right,7,24.52,25.68,613,641,1.16
7,Test_rat09,Animal_1,Ear_right,7,54.6,55.24,1365,1380,0.64
8,Test_rat09,Animal_1,Ear_right,8,22.4,24.32,560,607,1.92
9,Test_rat09,Animal_1,Ear_right,8,53.12,54.2,1328,1354,1.08
10,Test_rat09,Animal_1,Ear_right,9,19.68,22.12,492,552,2.44
11,Test_rat09,Animal_1,Ear_right,9,51.28,51.6,1282,1289,0.32
12,Test_rat09,Animal_1,Ear_right,9,58.28,58.64,1457,1465,0.36
13,Test_rat09,Animal_1,Ear_right,10,8.44,9.64,211,240,1.2
14,Test_rat09,Animal_1,Ear_right,10,9.8,10.32,245,257,0.52
15,Test_rat09,Animal_1,Ear_right,10,10.72,11.28,268,281,0.56
16,Test_rat09,Animal_1,Ear_right,10,17.04,19.28,426,481,2.24
17,Test_rat09,Animal_1,Ear_right,10,58.8,61.04,1470,1525,2.24
18,Test_rat09,Animal_1,Ear_right,10,61.48,61.96,1537,1548,0.48
19,Test_rat09,Animal_1,Ear_right,10,63.28,64.96,1582,1623,1.68
20,Test_rat09,Animal_1,Ear_right,11,7.88,8.12,197,202,0.24
21,Test_rat09,Animal_1,Ear_right,11,65.16,65.56,1629,1638,0.4
22,Test_rat09,Animal_1,Ear_right,12,1.92,3.0,48,74,1.08
23,Test_rat09,Animal_1,Ear_right,12,6.92,7.6,173,189,0.68
24,Test_rat09,Animal_1,Ear_right,12,65.76,66.24,1644,1655,0.48
25,Test_rat09,Animal_1,Ear_right,13,3.32,5.16,83,128,1.84
26,Test_rat09,Animal_1,Ear_right,13,66.44,67.56,1661,1688,1.12
27,Test_rat09,Animal_1,Ear_right,13,77.88,78.48,1947,1961,0.6
28,Test_rat09,Animal_1,Ear_right,15,46.32,46.96,1158,1173,0.64
29,Test_rat09,Animal_1,Ear_right,16,82.08,83.24,2052,2080,1.16
30,Test_rat09,Animal_1,Ear_right,17,39.96,41.52,999,1037,1.56
31,Test_rat09,Animal_1,Ear_right,17,42.16,42.84,1054,1070,0.68
32,Test_rat09,Animal_1,Ear_right,17,83.56,84.76,2089,2118,1.2
33,Test_rat09,Animal_1,Ear_right,18,34.08,35.12,852,877,1.04
34,Test_rat09,Animal_1,Ear_right,18,37.92,38.0,948,949,0.08
35,Test_rat09,Animal_1,Ear_right,18,38.04,38.68,951,966,0.64
36,Test_rat09,Animal_1,Ear_right,18,39.12,39.56,978,988,0.44
37,04Training_rat18,Animal_1,Ear_right,1,29.32,29.68,733,741,0.36
38,04Training_rat18,Animal_1,Ear_right,1,29.72,29.96,743,748,0.24
39,04Training_rat18,Animal_1,Ear_right,1,30.36,30.64,759,765,0.28
40,04Training_rat18,Animal_1,Ear_right,1,30.72,30.8,768,769,0.08
41,04Training_rat18,Animal_1,Ear_right,1,31.92,32.0,798,799,0.08
