,VIDEO,ANIMAL,BODY-PART,SHAPE NAME,START TIME,END TIME,START FRAME,END FRAME,DURATION (S)
0,Test_rat09,Animal_1,Nose,1,31.72,33.6,793,839,1.88
1,Test_rat09,Animal_1,Nose,2,30.76,31.44,769,785,0.68
2,Test_rat09,Animal_1,Nose,3,30.12,30.52,753,762,0.4
3,Test_rat09,Animal_1,Nose,4,29.24,29.88,731,746,0.64
4,Test_rat09,Animal_1,Nose,5,27.76,28.96,694,723,1.2
5,Test_rat09,Animal_1,Nose,6,26.04,27.52,651,687,1.48
6,Test_rat09,Animal_1,Nose,7,24.44,25.56,611,638,1.12
7,Test_rat09,Animal_1,Nose,7,54.52,54.88,1363,1371,0.36
8,Test_rat09,Animal_1,Nose,7,55.16,55.2,1379,1379,0.04
9,Test_rat09,Animal_1,Nose,8,22.28,24.08,557,601,1.8
10,Test_rat09,Animal_1,Nose,8,53.08,53.96,1327,1348,0.88
11,Test_rat09,Animal_1,Nose,9,19.56,20.88,489,521,1.32
12,Test_rat09,Animal_1,Nose,9,21.4,22.04,535,550,0.64
13,Test_rat09,Animal_1,Nose,9,51.12,51.68,1278,1291,0.56
14,Test_rat09,Animal_1,Nose,10,8.4,8.44,210,210,0.04
15,Test_rat09,Animal_1,Nose,10,8.48,8.56,212,213,0.08
16,Test_rat09,Animal_1,Nose,10,8.72,8.92,218,222,0.2
17,Test_rat09,Animal_1,Nose,10,8.96,9.4,224,234,0.44
18,Test_rat09,Animal_1,Nose,10,10.76,11.08,269,276,0.32
19,Test_rat09,Animal_1,Nose,10,17.2,17.24,430,430,0.04
20,Test_rat09,Animal_1,Nose,10,17.32,18.32,433,457,1.0
21,Test_rat09,Animal_1,Nose,10,18.36,18.48,459,461,0.12
22,Test_rat09,Animal_1,Nose,10,18.76,19.16,469,478,0.4
23,Test_rat09,Animal_1,Nose,10,58.72,60.36,1468,1508,1.64
24,Test_rat09,Animal_1,Nose,10,60.48,60.68,1512,1516,0.2
25,Test_rat09,Animal_1,Nose,10,60.8,60.88,1520,1521,0.08
26,Test_rat09,Animal_1,Nose,10,60.92,61.04,1523,1525,0.12
27,Test_rat09,Animal_1,Nose,10,61.64,62.04,1541,1550,0.4
28,Test_rat09,Animal_1,Nose,10,63.24,64.84,1581,1620,1.6
29,Test_rat09,Animal_1,Nose,11,7.8,8.12,195,202,0.32
30,Test_rat09,Animal_1,Nose,11,65.08,65.48,1627,1636,0.4
31,Test_rat09,Animal_1,Nose,12,1.96,2.56,49,63,0.6
32,Test_rat09,Animal_1,Nose,12,7.0,7.08,175,176,0.08
33,Test_rat09,Animal_1,Nose,12,7.12,7.16,178,178,0.04
34,Test_rat09,Animal_1,Nose,12,7.28,7.44,182,185,0.16
35,Test_rat09,Animal_1,Nose,12,65.6,66.12,1640,1652,0.52
36,Test_rat09,Animal_1,Nose,13,3.12,4.64,78,115,1.52
37,Test_rat09,Animal_1,Nose,13,4.96,5.12,124,127,0.16
38,Test_rat09,Animal_1,Nose,13,66.28,67.36,1657,1683,1.08
39,Test_rat09,Animal_1,Nose,13,77.88,78.32,1947,1957,0.44
40,Test_rat09,Animal_1,Nose,14,47.24,47.64,1181,1190,0.4
41,Test_rat09,Animal_1,Nose,15,46.16,46.88,1154,1171,0.72
42,Test_rat09,Animal_1,Nose,16,43.28,44.04,1082,1100,0.76
43,Test_rat09,Animal_1,Nose,16,81.96,82.68,2049,2066,0.72
44,Test_rat09,Animal_1,Nose,16,82.76,83.0,2069,2074,0.24
45,Test_rat09,Animal_1,Nose,17,39.76,40.28,994,1006,0.52
46,Test_rat09,Animal_1,Nose,17,83.48,84.12,2087,2102,0.64
47,Test_rat09,Animal_1,Nose,17,84.48,84.52,2112,2112,0.04
48,Test_rat09,Animal_1,Nose,18,33.92,34.92,848,872,1.0
49,Test_rat09,Animal_1,Nose,18,37.6,38.56,940,963,0.96
50,Test_rat09,Animal_1,Nose,18,39.08,39.44,977,985,0.36
51,04Training_rat18,Animal_1,Nose,1,29.2,29.6,730,739,0.4
