VIDEO,ANIMAL,BODY-PART,MEASURE,VALUE
Test_rat09,Animal_1,Nose,Distance (cm),1493.605544774071
Test_rat09,Animal_1,Nose,Velocity (cm/s),17.143331121638454
04Training_rat18,Animal_1,Nose,Distance (cm),747.8988594913022
04Training_rat18,Animal_1,Nose,Velocity (cm/s),23.48592978999678
04Training_rat30,Animal_1,Nose,Distance (cm),155.8362829997165
04Training_rat30,Animal_1,Nose,Velocity (cm/s),26.44564892105228
05Training_rat22,Animal_1,Nose,Distance (cm),2358.056891294562
05Training_rat22,Animal_1,Nose,Velocity (cm/s),13.16328429298062
Test_rat21,Animal_1,Nose,Distance (cm),1626.045269708563
Test_rat21,Animal_1,Nose,Velocity (cm/s),18.604611337815605
04Training_rat24,Animal_1,Nose,Distance (cm),147.10916176611676
04Training_rat24,Animal_1,Nose,Velocity (cm/s),33.47750950998408
01Training_rat27,Animal_1,Nose,Distance (cm),2899.322041646464
01Training_rat27,Animal_1,Nose,Velocity (cm/s),16.118509257419618
10Training_rat13,Animal_1,Nose,Distance (cm),234.96259060266138
10Training_rat13,Animal_1,Nose,Velocity (cm/s),33.56608437180877
10Training_rat07,Animal_1,Nose,Distance (cm),193.15415853891992
10Training_rat07,Animal_1,Nose,Velocity (cm/s),47.028545790126756
09Training_rat05,Animal_1,Nose,Distance (cm),280.27503948666356
09Training_rat05,Animal_1,Nose,Velocity (cm/s),22.005392848353953
08Training_rat03,Animal_1,Nose,Distance (cm),421.82937195914855
08Training_rat03,Animal_1,Nose,Velocity (cm/s),16.70112743760668
08Training_rat17,Animal_1,Nose,Distance (cm),2937.7071625832805
08Training_rat17,Animal_1,Nose,Velocity (cm/s),17.349139605153745
09Training_rat11,Animal_1,Nose,Distance (cm),2890.6393358623704
09Training_rat11,Animal_1,Nose,Velocity (cm/s),16.25122461564041
08Training_rat16,Animal_1,Nose,Distance (cm),2722.028976665084
08Training_rat16,Animal_1,Nose,Velocity (cm/s),15.14814050713773
09Training_rat10,Animal_1,Nose,Distance (cm),2303.391925908885
09Training_rat10,Animal_1,Nose,Velocity (cm/s),13.177823375240962
09Training_rat04,Animal_1,Nose,Distance (cm),556.2172507023155
09Training_rat04,Animal_1,Nose,Velocity (cm/s),12.676839728236287
08Training_rat02,Animal_1,Nose,Distance (cm),146.52328876795258
08Training_rat02,Animal_1,Nose,Velocity (cm/s),20.931898395421797
10Training_rat06,Animal_1,Nose,Distance (cm),1279.7756300914332
10Training_rat06,Animal_1,Nose,Velocity (cm/s),17.153375130459438
10Training_rat12,Animal_1,Nose,Distance (cm),1028.9361646210841
10Training_rat12,Animal_1,Nose,Velocity (cm/s),20.59440302155909
01Training_rat26,Animal_1,Nose,Distance (cm),966.2093035699065
01Training_rat26,Animal_1,Nose,Velocity (cm/s),19.07767871046298
01Training_rat32,Animal_1,Nose,Distance (cm),1826.562819537842
01Training_rat32,Animal_1,Nose,Velocity (cm/s),15.021471710618165
05Training_rat23,Animal_1,Nose,Distance (cm),627.065164613552
05Training_rat23,Animal_1,Nose,Velocity (cm/s),20.902172153785063
04Training_rat25,Animal_1,Nose,Distance (cm),935.3771381163511
04Training_rat25,Animal_1,Nose,Velocity (cm/s),32.39790266077006
Test_rat20,Animal_1,Nose,Distance (cm),1824.2789538782326
Test_rat20,Animal_1,Nose,Velocity (cm/s),20.105939595606845
04Training_rat31,Animal_1,Nose,Distance (cm),2919.951698167959
04Training_rat31,Animal_1,Nose,Velocity (cm/s),17.826743990227666
04Training_rat19,Animal_1,Nose,Distance (cm),590.8967193007056
04Training_rat19,Animal_1,Nose,Velocity (cm/s),18.46552247814705
Test_rat08,Animal_1,Nose,Distance (cm),1347.973020579643
Test_rat08,Animal_1,Nose,Velocity (cm/s),14.921743362570744
05Training_rat09,Animal_1,Nose,Distance (cm),145.31074649276002
05Training_rat09,Animal_1,Nose,Velocity (cm/s),18.35208571306778
Test_rat22,Animal_1,Nose,Distance (cm),1185.311622713185
Test_rat22,Animal_1,Nose,Velocity (cm/s),13.086687012583107
04Training_rat27,Animal_1,Nose,Distance (cm),503.7546800158958
04Training_rat27,Animal_1,Nose,Velocity (cm/s),25.42447003605838
05Training_rat21,Animal_1,Nose,Distance (cm),402.59192145874243
05Training_rat21,Animal_1,Nose,Velocity (cm/s),14.91081190587935
01Training_rat24,Animal_1,Nose,Distance (cm),31.823590772777095
01Training_rat24,Animal_1,Nose,Velocity (cm/s),0.5786107413232199
01Training_rat30,Animal_1,Nose,Distance (cm),334.5607577898959
01Training_rat30,Animal_1,Nose,Velocity (cm/s),25.03244428142744
01Training_rat18,Animal_1,Nose,Distance (cm),2584.2313601809847
01Training_rat18,Animal_1,Nose,Velocity (cm/s),19.348701365481165
10Training_rat04,Animal_1,Nose,Distance (cm),791.0183349160454
10Training_rat04,Animal_1,Nose,Velocity (cm/s),16.323076555681325
10Training_rat10,Animal_1,Nose,Distance (cm),2391.830382554543
10Training_rat10,Animal_1,Nose,Velocity (cm/s),16.727097993193837
08Training_rat28,Animal_1,Nose,Distance (cm),338.2820483408356
08Training_rat28,Animal_1,Nose,Velocity (cm/s),16.15292723741889
09Training_rat12,Animal_1,Nose,Distance (cm),1094.062350133396
09Training_rat12,Animal_1,Nose,Velocity (cm/s),35.46523362371394
08Training_rat14,Animal_1,Nose,Distance (cm),196.44447258879768
08Training_rat14,Animal_1,Nose,Velocity (cm/s),34.69341280840137
09Training_rat06,Animal_1,Nose,Distance (cm),734.6860957813876
09Training_rat06,Animal_1,Nose,Velocity (cm/s),18.396851372102248
08Training_rat01,Animal_1,Nose,Distance (cm),423.96404004952944
08Training_rat01,Animal_1,Nose,Velocity (cm/s),13.029447870341714
09Training_rat07,Animal_1,Nose,Distance (cm),264.46173064849785
09Training_rat07,Animal_1,Nose,Velocity (cm/s),30.73702640920602
09Training_rat13,Animal_1,Nose,Distance (cm),2.158860174350724
09Training_rat13,Animal_1,Nose,Velocity (cm/s),0.05265512620367619
08Training_rat15,Animal_1,Nose,Distance (cm),140.38352238867526
08Training_rat15,Animal_1,Nose,Velocity (cm/s),20.547373481329437
08Training_rat29,Animal_1,Nose,Distance (cm),1045.79041178017
08Training_rat29,Animal_1,Nose,Velocity (cm/s),16.340475184065156
10Training_rat11,Animal_1,Nose,Distance (cm),2763.8363330926472
10Training_rat11,Animal_1,Nose,Velocity (cm/s),15.631925775207426
10Training_rat05,Animal_1,Nose,Distance (cm),1567.5350573186997
10Training_rat05,Animal_1,Nose,Velocity (cm/s),16.35375156654986
01Training_rat19,Animal_1,Nose,Distance (cm),2930.300583470336
01Training_rat19,Animal_1,Nose,Velocity (cm/s),16.730018880485304
