VIDEO,ANIMAL,BODY-PART,MEASUREMENT,VALUE
Test_rat09,Animal_1,Center,Distance (cm),962.3591573780168
Test_rat09,Animal_1,Center,Velocity (cm/s),10.645120399900913
04Training_rat18,Animal_1,Center,Distance (cm),438.1432173869148
04Training_rat18,Animal_1,Center,Velocity (cm/s),14.627664509368573
04Training_rat30,Animal_1,Center,Distance (cm),112.24824537873754
04Training_rat30,Animal_1,Center,Velocity (cm/s),20.143981436206897
05Training_rat22,Animal_1,Center,Distance (cm),1345.8749452033662
05Training_rat22,Animal_1,Center,Velocity (cm/s),7.779623960713099
Test_rat21,Animal_1,Center,Distance (cm),991.3951063988947
Test_rat21,Animal_1,Center,Velocity (cm/s),11.183551688860254
04Training_rat24,Animal_1,Center,Distance (cm),95.99054530302678
04Training_rat24,Animal_1,Center,Velocity (cm/s),21.307047115331894
01Training_rat27,Animal_1,Center,Distance (cm),1521.932031312803
01Training_rat27,Animal_1,Center,Velocity (cm/s),8.68325806723668
10Training_rat13,Animal_1,Center,Distance (cm),81.5554382307474
10Training_rat13,Animal_1,Center,Velocity (cm/s),14.049209457213442
10Training_rat07,Animal_1,Center,Distance (cm),75.57937513220496
10Training_rat07,Animal_1,Center,Velocity (cm/s),17.59004063965893
09Training_rat05,Animal_1,Center,Distance (cm),201.2524916458599
09Training_rat05,Animal_1,Center,Velocity (cm/s),15.92986610444826
08Training_rat03,Animal_1,Center,Distance (cm),351.9970525985956
08Training_rat03,Animal_1,Center,Velocity (cm/s),12.962181927705087
08Training_rat17,Animal_1,Center,Distance (cm),1918.2007420500126
08Training_rat17,Animal_1,Center,Velocity (cm/s),10.791305350502018
09Training_rat11,Animal_1,Center,Distance (cm),1755.6741565237214
09Training_rat11,Animal_1,Center,Velocity (cm/s),9.99998077198636
08Training_rat16,Animal_1,Center,Distance (cm),1476.1806922238707
08Training_rat16,Animal_1,Center,Velocity (cm/s),8.286623084905877
09Training_rat10,Animal_1,Center,Distance (cm),1361.50154657867
09Training_rat10,Animal_1,Center,Velocity (cm/s),7.7854596850553355
09Training_rat04,Animal_1,Center,Distance (cm),291.3160054298607
09Training_rat04,Animal_1,Center,Velocity (cm/s),6.791282855634466
08Training_rat02,Animal_1,Center,Distance (cm),91.57371532558531
08Training_rat02,Animal_1,Center,Velocity (cm/s),15.622808122550387
10Training_rat06,Animal_1,Center,Distance (cm),786.6394955927244
10Training_rat06,Animal_1,Center,Velocity (cm/s),11.083439421943405
10Training_rat12,Animal_1,Center,Distance (cm),638.4845367471087
10Training_rat12,Animal_1,Center,Velocity (cm/s),12.90434712844567
01Training_rat26,Animal_1,Center,Distance (cm),514.1371512972952
01Training_rat26,Animal_1,Center,Velocity (cm/s),10.401788726737674
01Training_rat32,Animal_1,Center,Distance (cm),1104.942142657003
01Training_rat32,Animal_1,Center,Velocity (cm/s),9.172477900534373
05Training_rat23,Animal_1,Center,Distance (cm),416.815112624849
05Training_rat23,Animal_1,Center,Velocity (cm/s),14.014003557416167
04Training_rat25,Animal_1,Center,Distance (cm),373.0782545585174
04Training_rat25,Animal_1,Center,Velocity (cm/s),13.909383367684724
Test_rat20,Animal_1,Center,Distance (cm),1103.1028616109968
Test_rat20,Animal_1,Center,Velocity (cm/s),12.260051777050961
04Training_rat31,Animal_1,Center,Distance (cm),1657.4657175744087
04Training_rat31,Animal_1,Center,Velocity (cm/s),10.247130693716112
04Training_rat19,Animal_1,Center,Distance (cm),386.9094419704063
04Training_rat19,Animal_1,Center,Velocity (cm/s),12.099950053837304
