VIDEO,TIME BIN #,START TIME,END TIME,ANIMAL,BODY-PART,MEASUREMENT,VALUE
01Training_rat01,0,00:00:00.000,00:00:01.000,Animal_1,Center,Movement (cm),5.131801476428097
01Training_rat01,1,00:00:01.000,00:00:02.000,Animal_1,Center,Movement (cm),2.686954176544597
01Training_rat01,2,00:00:02.000,00:00:03.000,Animal_1,Center,Movement (cm),15.134181857325677
01Training_rat01,3,00:00:03.000,00:00:04.000,Animal_1,Center,Movement (cm),18.734820383980686
01Training_rat01,4,00:00:04.000,00:00:05.000,Animal_1,Center,Movement (cm),6.813404711138773
01Training_rat01,5,00:00:05.000,00:00:06.000,Animal_1,Center,Movement (cm),0.4965239377369491
01Training_rat01,6,00:00:06.000,00:00:07.000,Animal_1,Center,Movement (cm),0.5507057999580189
01Training_rat01,7,00:00:07.000,00:00:08.000,Animal_1,Center,Movement (cm),4.177413735439247
01Training_rat01,8,00:00:08.000,00:00:09.000,Animal_1,Center,Movement (cm),4.288268221848609
01Training_rat01,9,00:00:09.000,00:00:10.000,Animal_1,Center,Movement (cm),2.154441365257299
01Training_rat01,10,00:00:10.000,00:00:11.000,Animal_1,Center,Movement (cm),4.095106962997614
01Training_rat01,11,00:00:11.000,00:00:12.000,Animal_1,Center,Movement (cm),5.637847282655207
01Training_rat01,12,00:00:12.000,00:00:13.000,Animal_1,Center,Movement (cm),20.02999252910617
01Training_rat01,13,00:00:13.000,00:00:14.000,Animal_1,Center,Movement (cm),29.79090628531292
01Training_rat01,14,00:00:14.000,00:00:15.000,Animal_1,Center,Movement (cm),12.441296541854694
01Training_rat01,15,00:00:15.000,00:00:16.000,Animal_1,Center,Movement (cm),1.322504802305192
01Training_rat01,16,00:00:16.000,00:00:17.000,Animal_1,Center,Movement (cm),1.4893419824000274
01Training_rat01,17,00:00:17.000,00:00:18.000,Animal_1,Center,Movement (cm),1.7787162679516697
01Training_rat01,18,00:00:18.000,00:00:19.000,Animal_1,Center,Movement (cm),4.154602983614188
01Training_rat01,19,00:00:19.000,00:00:20.000,Animal_1,Center,Movement (cm),14.467849223266038
01Training_rat01,20,00:00:20.000,00:00:21.000,Animal_1,Center,Movement (cm),4.493988606579064
01Training_rat01,21,00:00:21.000,00:00:22.000,Animal_1,Center,Movement (cm),4.9677045871944365
01Training_rat01,22,00:00:22.000,00:00:23.000,Animal_1,Center,Movement (cm),12.889001685063558
01Training_rat01,23,00:00:23.000,00:00:24.000,Animal_1,Center,Movement (cm),1.6536334558066492
01Training_rat01,24,00:00:24.000,00:00:25.000,Animal_1,Center,Movement (cm),4.860546550544108
01Training_rat01,25,00:00:25.000,00:00:26.000,Animal_1,Center,Movement (cm),5.675316120629288
01Training_rat01,26,00:00:26.000,00:00:27.000,Animal_1,Center,Movement (cm),2.9805463380131
01Training_rat01,27,00:00:27.000,00:00:28.000,Animal_1,Center,Movement (cm),4.541077702733686
01Training_rat01,28,00:00:28.000,00:00:29.000,Animal_1,Center,Movement (cm),8.8079552323469
01Training_rat01,29,00:00:29.000,00:00:30.000,Animal_1,Center,Movement (cm),15.524341825023233
01Training_rat01,30,00:00:30.000,00:00:31.000,Animal_1,Center,Movement (cm),2.842693595660959
01Training_rat01,31,00:00:31.000,00:00:32.000,Animal_1,Center,Movement (cm),0.9234172722766478
01Training_rat01,32,00:00:32.000,00:00:33.000,Animal_1,Center,Movement (cm),0.651130517940279
01Training_rat01,33,00:00:33.000,00:00:34.000,Animal_1,Center,Movement (cm),0.9375692989431741
01Training_rat01,34,00:00:34.000,00:00:35.000,Animal_1,Center,Movement (cm),2.3934334776578963
01Training_rat01,35,00:00:35.000,00:00:36.000,Animal_1,Center,Movement (cm),1.422705466354754
01Training_rat01,36,00:00:36.000,00:00:37.000,Animal_1,Center,Movement (cm),3.4290800142728957
01Training_rat01,37,00:00:37.000,00:00:38.000,Animal_1,Center,Movement (cm),5.5431806658809455
01Training_rat01,38,00:00:38.000,00:00:39.000,Animal_1,Center,Movement (cm),3.617864557117963
01Training_rat01,39,00:00:39.000,00:00:40.000,Animal_1,Center,Movement (cm),1.6491764961853845
01Training_rat01,40,00:00:40.000,00:00:41.000,Animal_1,Center,Movement (cm),1.2138584129268626
01Training_rat01,41,00:00:41.000,00:00:42.000,Animal_1,Center,Movement (cm),2.112534353699371
01Training_rat01,42,00:00:42.000,00:00:43.000,Animal_1,Center,Movement (cm),1.8839353104256626
01Training_rat01,43,00:00:43.000,00:00:44.000,Animal_1,Center,Movement (cm),0.8345211570298743
01Training_rat01,44,00:00:44.000,00:00:45.000,Animal_1,Center,Movement (cm),5.438559667290735
01Training_rat01,45,00:00:45.000,00:00:46.000,Animal_1,Center,Movement (cm),1.8219435568395657
01Training_rat01,46,00:00:46.000,00:00:47.000,Animal_1,Center,Movement (cm),3.5409503265436006
01Training_rat01,47,00:00:47.000,00:00:48.000,Animal_1,Center,Movement (cm),18.244272951718887
01Training_rat01,48,00:00:48.000,00:00:49.000,Animal_1,Center,Movement (cm),27.120139817713863
01Training_rat01,49,00:00:49.000,00:00:50.000,Animal_1,Center,Movement (cm),14.859065585348123
01Training_rat01,50,00:00:50.000,00:00:51.000,Animal_1,Center,Movement (cm),33.83134009996699
01Training_rat01,51,00:00:51.000,00:00:52.000,Animal_1,Center,Movement (cm),34.26288703283176
01Training_rat01,52,00:00:52.000,00:00:53.000,Animal_1,Center,Movement (cm),6.334838371910478
01Training_rat01,53,00:00:53.000,00:00:54.000,Animal_1,Center,Movement (cm),8.03815874938133
01Training_rat01,54,00:00:54.000,00:00:55.000,Animal_1,Center,Movement (cm),3.0689201925316585
01Training_rat01,55,00:00:55.000,00:00:56.000,Animal_1,Center,Movement (cm),1.3152717276148027
01Training_rat01,56,00:00:56.000,00:00:57.000,Animal_1,Center,Movement (cm),2.610641939991985
01Training_rat01,57,00:00:57.000,00:00:58.000,Animal_1,Center,Movement (cm),4.7840185217391
01Training_rat01,58,00:00:58.000,00:00:59.000,Animal_1,Center,Movement (cm),6.039019156677648
01Training_rat01,59,00:00:59.000,00:01:00.000,Animal_1,Center,Movement (cm),2.813931264372907
01Training_rat01,60,00:01:00.000,00:01:01.000,Animal_1,Center,Movement (cm),3.9830164512100517
