,VIDEO,ANIMAL,BODY-PART,SHAPE NAME,START TIME,END TIME,START FRAME,END FRAME,DURATION (S)
0,Test_rat09,Animal_1,Ear_left,1,31.96,33.76,799,843,1.8
1,Test_rat09,Animal_1,Ear_left,2,30.88,31.68,772,791,0.8
2,Test_rat09,Animal_1,Ear_left,3,30.16,30.68,754,766,0.52
3,Test_rat09,Animal_1,Ear_left,4,29.4,30.0,735,749,0.6
4,Test_rat09,Animal_1,Ear_left,5,27.88,29.12,697,727,1.24
5,Test_rat09,Animal_1,Ear_left,6,26.2,27.64,655,690,1.44
6,Test_rat09,Animal_1,Ear_left,7,24.56,25.08,614,626,0.52
7,Test_rat09,Animal_1,Ear_left,7,25.24,25.6,631,639,0.36
8,Test_rat09,Animal_1,Ear_left,7,54.6,55.28,1365,1381,0.68
9,Test_rat09,Animal_1,Ear_left,8,22.72,24.28,568,606,1.56
10,Test_rat09,Animal_1,Ear_left,8,53.12,54.28,1328,1356,1.16
11,Test_rat09,Animal_1,Ear_left,9,19.8,21.0,495,524,1.2
12,Test_rat09,Animal_1,Ear_left,9,21.32,22.08,533,551,0.76
13,Test_rat09,Animal_1,Ear_left,9,51.12,51.76,1278,1293,0.64
14,Test_rat09,Animal_1,Ear_left,9,58.44,58.48,1461,1461,0.04
15,Test_rat09,Animal_1,Ear_left,10,8.4,9.6,210,239,1.2
16,Test_rat09,Animal_1,Ear_left,10,9.84,9.96,246,248,0.12
17,Test_rat09,Animal_1,Ear_left,10,10.72,11.12,268,277,0.4
18,Test_rat09,Animal_1,Ear_left,10,17.24,18.6,431,464,1.36
19,Test_rat09,Animal_1,Ear_left,10,18.64,19.2,466,479,0.56
20,Test_rat09,Animal_1,Ear_left,10,58.8,61.04,1470,1525,2.24
21,Test_rat09,Animal_1,Ear_left,10,61.48,62.24,1537,1555,0.76
22,Test_rat09,Animal_1,Ear_left,10,63.24,65.0,1581,1624,1.76
23,Test_rat09,Animal_1,Ear_left,11,7.8,8.16,195,203,0.36
24,Test_rat09,Animal_1,Ear_left,11,65.2,65.56,1630,1638,0.36
25,Test_rat09,Animal_1,Ear_left,12,2.0,2.96,50,73,0.96
26,Test_rat09,Animal_1,Ear_left,12,7.04,7.64,176,190,0.6
27,Test_rat09,Animal_1,Ear_left,12,65.8,66.2,1645,1654,0.4
28,Test_rat09,Animal_1,Ear_left,13,3.28,5.32,82,132,2.04
29,Test_rat09,Animal_1,Ear_left,13,66.44,67.64,1661,1690,1.2
30,Test_rat09,Animal_1,Ear_left,13,77.8,78.4,1945,1959,0.6
31,Test_rat09,Animal_1,Ear_left,14,47.36,47.8,1184,1194,0.44
32,Test_rat09,Animal_1,Ear_left,15,46.28,47.0,1157,1174,0.72
33,Test_rat09,Animal_1,Ear_left,16,43.56,44.88,1089,1121,1.32
34,Test_rat09,Animal_1,Ear_left,16,82.08,83.12,2052,2077,1.04
35,Test_rat09,Animal_1,Ear_left,17,40.04,40.48,1001,1011,0.44
36,Test_rat09,Animal_1,Ear_left,17,83.56,84.84,2089,2120,1.28
37,Test_rat09,Animal_1,Ear_left,18,34.08,35.0,852,874,0.92
38,Test_rat09,Animal_1,Ear_left,18,37.84,39.52,946,987,1.68
39,04Training_rat18,Animal_1,Ear_left,1,29.32,29.96,733,748,0.64
40,04Training_rat18,Animal_1,Ear_left,1,30.4,30.6,760,764,0.2
41,04Training_rat18,Animal_1,Ear_left,1,31.92,32.0,798,799,0.08
42,04Training_rat18,Animal_1,Ear_left,2,30.76,30.84,769,770,0.08
43,04Training_rat18,Animal_1,Ear_left,2,30.88,31.0,772,774,0.12
44,04Training_rat18,Animal_1,Ear_left,2,31.76,31.8,794,794,0.04
45,04Training_rat18,Animal_1,Ear_left,6,18.0,18.36,450,458,0.36
46,04Training_rat18,Animal_1,Ear_left,6,18.76,19.16,469,478,0.4
47,04Training_rat18,Animal_1,Ear_left,6,20.88,21.24,522,530,0.36
48,04Training_rat18,Animal_1,Ear_left,6,22.68,23.2,567,579,0.52
49,04Training_rat18,Animal_1,Ear_left,6,27.2,27.24,680,680,0.04
50,04Training_rat18,Animal_1,Ear_left,7,17.52,17.6,438,439,0.08
51,04Training_rat18,Animal_1,Ear_left,7,17.64,17.8,441,444,0.16
52,04Training_rat18,Animal_1,Ear_left,8,17.24,17.32,431,432,0.08
53,04Training_rat18,Animal_1,Ear_left,9,15.92,16.76,398,418,0.84
54,04Training_rat18,Animal_1,Ear_left,10,15.04,15.56,376,388,0.52
55,04Training_rat18,Animal_1,Ear_left,13,6.8,9.6,170,239,2.8
56,04Training_rat18,Animal_1,Ear_left,14,3.44,3.84,86,95,0.4
57,04Training_rat18,Animal_1,Ear_left,14,5.92,6.56,148,163,0.64
58,04Training_rat18,Animal_1,Ear_left,15,0.96,3.12,24,77,2.16
59,04Training_rat30,Animal_1,Ear_left,1,4.44,4.92,111,122,0.48
60,04Training_rat30,Animal_1,Ear_left,2,3.04,4.16,76,103,1.12
61,04Training_rat30,Animal_1,Ear_left,3,1.84,2.8,46,69,0.96
62,05Training_rat22,Animal_1,Ear_left,1,21.0,21.56,525,538,0.56
63,05Training_rat22,Animal_1,Ear_left,1,21.68,24.08,542,601,2.4
64,05Training_rat22,Animal_1,Ear_left,1,24.32,24.6,608,614,0.28
65,05Training_rat22,Animal_1,Ear_left,1,26.36,29.16,659,728,2.8
66,05Training_rat22,Animal_1,Ear_left,1,35.32,36.52,883,912,1.2
67,05Training_rat22,Animal_1,Ear_left,1,74.4,81.24,1860,2030,6.84
68,05Training_rat22,Animal_1,Ear_left,1,84.6,84.92,2115,2122,0.32
69,05Training_rat22,Animal_1,Ear_left,1,84.96,85.04,2124,2125,0.08
70,05Training_rat22,Animal_1,Ear_left,1,85.12,86.92,2128,2172,1.8
71,05Training_rat22,Animal_1,Ear_left,1,87.0,87.04,2175,2175,0.04
72,05Training_rat22,Animal_1,Ear_left,1,87.28,87.44,2182,2185,0.16
73,05Training_rat22,Animal_1,Ear_left,1,88.28,93.2,2207,2329,4.92
