FEATURE,FEATURE_IMPORTANCE_MEAN,FEATURE_IMPORTANCE_STDEV
Animal_1 Nose to L center distance (mm)_FEATURE_SUBSET,0.0642582555492588,0.10782174783594162
L Animal_1 Nose distance,0.06306893616311093,0.10790219778167408
L Animal_1 Nose in zone,0.044369030823999095,0.09768571141495241
Animal_1 Nose inside circle L (Boolean)_FEATURE_SUBSET,0.04142239900089353,0.09399305918615264
Animal_1 Ear_right to L center distance (mm)_FEATURE_SUBSET,0.03409211274977811,0.07598416539359631
L Animal_1 Ear_right distance,0.03371603201917487,0.07490471840395112
Animal_1 Ear_left to L center distance (mm)_FEATURE_SUBSET,0.029921204315808515,0.07017079536363342
L Animal_1 Ear_left distance,0.029093343273101282,0.0695821706476208
Animal_1 Ear_left inside circle L (Boolean)_FEATURE_SUBSET,0.021086416144325115,0.06428700127758545
L Animal_1 Ear_left in zone,0.01972600186453131,0.06193828502137751
Animal_1 Ear_right inside circle L (Boolean)_FEATURE_SUBSET,0.018339265744220085,0.05730514619133092
L Animal_1 Ear_right in zone,0.016754608012056072,0.05476083171562056
Animal_1 Center to L center distance (mm)_FEATURE_SUBSET,0.012163098710675896,0.02192102130216715
L Animal_1 Center distance,0.012025654124903976,0.022118053496028616
L Animal_1 Lat_right distance,0.011472510176165428,0.022907746659524983
Animal_1 Lat_right to L center distance (mm)_FEATURE_SUBSET,0.011391124290742233,0.02449229620174404
L Animal_1 facing,0.010874955973201511,0.024754315439724704
L Animal_1 Lat_left distance,0.01064001925723421,0.0227526702463321
Animal_1 Lat_left to L center distance (mm)_FEATURE_SUBSET,0.010022582946064318,0.02223505162260906
Animal_1 Nose to R center distance (mm)_FEATURE_SUBSET,0.009059054945400994,0.014493262137719435
R Animal_1 Nose distance,0.00896822568458923,0.015074938042368197
Animal_1 Tail_base to L center distance (mm)_FEATURE_SUBSET,0.008104041714811782,0.015040224991962293
L Animal_1 Tail_base distance,0.008068977312443274,0.01540479905163579
Animal_1 three-point convex hull perimeter (mm) Ear_left-Ear_right-Nose_FEATURE_SUBSET,0.0059001677861901854,0.0095912674591147
Animal_1 Ear_left to R center distance (mm)_FEATURE_SUBSET,0.005602687668830706,0.009101089877399032
R Animal_1 Ear_left distance,0.005478399156121014,0.00864675375372943
Animal_1 Ear_right to R center distance (mm)_FEATURE_SUBSET,0.005400255011821004,0.008996528139431064
R Animal_1 Ear_right distance,0.0052119900690270555,0.008795299968614254
Distance (mm) Nose-Ear_left_FEATURE_SUBSET,0.0049253723733893705,0.00868927241228539
Distance (mm) Nose-Ear_right_FEATURE_SUBSET,0.003977226436938955,0.006784015493421633
Animal_1 Lat_left to R center distance (mm)_FEATURE_SUBSET,0.0036445180372692582,0.005860124363583744
R Animal_1 Lat_right distance,0.003526243501722514,0.005469894710676052
R Animal_1 Lat_left distance,0.0035029540102170416,0.005256444612994368
Animal_1 Lat_right to R center distance (mm)_FEATURE_SUBSET,0.0033803086834551114,0.005326217533708429
Animal_1 Center to R center distance (mm)_FEATURE_SUBSET,0.0029609773681938973,0.004962062465551142
R Animal_1 Center distance,0.002951021108081744,0.005007447861973647
Animal_1 Tail_base to R center distance (mm)_FEATURE_SUBSET,0.002734798208512001,0.004021248209901547
R Animal_1 Tail_base distance,0.0026999322277789757,0.004071781160339845
R Animal_1 Tail_end distance,0.0026640776917492962,0.003391549843194591
Mouse_Ear_distance,0.0024612895797300736,0.00412689567792627
Distance (mm) Ear_right-Ear_left_FEATURE_SUBSET,0.0023933799068054885,0.003890032548374113
Animal_1 Tail_end to R center distance (mm)_FEATURE_SUBSET,0.0023907686998363435,0.002888740463927635
Angle (degrees) Ear_left-Ear_right-Nose_FEATURE_SUBSET,0.002358374347418853,0.003620150164737463
L Animal_1 Tail_end distance,0.002233814319216611,0.003839507494016365
Angle (degrees) Ear_right-Nose-Lat_left_FEATURE_SUBSET,0.002171418182368197,0.002995935912410505
Angle (degrees) Ear_right-Nose-Center_FEATURE_SUBSET,0.0020947832248753365,0.0029234703971075856
Animal_1 Tail_end to L center distance (mm)_FEATURE_SUBSET,0.002084099806604817,0.003701460963608565
Angle (degrees) Nose-Center-Lat_left_FEATURE_SUBSET,0.0018565872098341622,0.0048617355575458114
Total_movement_M1_mean_15_percentile_rank,0.001709113903657369,0.0020534228273701607
Angle (degrees) Nose-Lat_left-Lat_right_FEATURE_SUBSET,0.0017089317791088153,0.005436518301206641
Nose_movement_M1_median_7.5,0.0016479504916993564,0.002210673667790729
Animal_1 four-point convex perimeter (mm) Ear_left-Ear_right-Nose-Lat_left_FEATURE_SUBSET,0.0016332720611142364,0.005315654382217041
Animal_1 three-point convex hull perimeter (mm) Ear_right-Nose-Lat_left_FEATURE_SUBSET,0.0016317004990716395,0.004373041922155626
Animal_1 three-point convex hull perimeter (mm) Ear_left-Nose-Lat_left_FEATURE_SUBSET,0.0016183142418633185,0.004627582387910456
Sum_probabilities,0.0015943420358492829,0.003264750452082233
Angle (degrees) Nose-Lat_left-Tail_base_FEATURE_SUBSET,0.0015909982873797553,0.003412218635141607
Nose_movement_M1_median_5,0.001590313463442032,0.002075393809210087
Angle (degrees) Ear_left-Nose-Lat_right_FEATURE_SUBSET,0.0015716654833437108,0.002188898504108341
Angle (degrees) Ear_left-Nose-Center_FEATURE_SUBSET,0.0015564453903687363,0.0022688271189816563
Sum_probabilities_deviation,0.0015489390575055804,0.002301257539646529
Angle (degrees) Ear_right-Nose-Tail_base_FEATURE_SUBSET,0.0015438224895087424,0.0022546665181194
Nose_movement_M1_median_15,0.0015343745583456577,0.0019365684201474477
Centroid_movement_M1_median_15,0.0015252076420206608,0.0020919927529016538
Tail_end_movement_M1_median_15,0.001503141221440036,0.0016403647825353482
Animal_1 three-point convex hull perimeter (mm) Ear_left-Nose-Lat_right_FEATURE_SUBSET,0.0014833613427187543,0.004678772249206067
Angle (degrees) Ear_right-Lat_left-Tail_base_FEATURE_SUBSET,0.001465275754241871,0.0021893921779765732
Mouse1_mean_euclid_distances_median_15,0.0014643946314674878,0.002743568313174077
Distance (mm) Nose-Lat_left_FEATURE_SUBSET,0.0014483391160308749,0.0034745585363729005
Animal_1 three-point convex hull perimeter (mm) Ear_right-Nose-Lat_right_FEATURE_SUBSET,0.0014458291196287165,0.0036616141838036777
Nose_movement_M1_median_6,0.001440032810733159,0.0019743040391697084
Mouse1_smallest_euclid_distances_mean_15_percentile_rank,0.0014362974403814462,0.0015787320470201504
Animal_1 three-point convex hull perimeter (mm) Ear_right-Tail_base-Tail_end_FEATURE_SUBSET,0.0014198154548285746,0.003478649608953492
Mouse1_mean_euclid_distances_mean_15_deviation,0.0014095667931727169,0.0028067076320494543
Mouse_Nose_to_lateral_left,0.0014088777943627006,0.0026722802524064395
Angle (degrees) Ear_left-Ear_right-Tail_end_FEATURE_SUBSET,0.0014059153194793562,0.0022200791997532554
Distance (mm) Tail_base-Ear_right_FEATURE_SUBSET,0.0014043498577737093,0.0028034869454101954
Angle (degrees) Ear_left-Nose-Tail_base_FEATURE_SUBSET,0.0014031094267639456,0.002253680318329059
Angle (degrees) Ear_left-Nose-Tail_end_FEATURE_SUBSET,0.001398889945021143,0.0015635655716073969
Angle (degrees) Nose-Center-Lat_right_FEATURE_SUBSET,0.0013847766678518488,0.004387985386379827
Angle (degrees) Lat_left-Tail_base-Tail_end_FEATURE_SUBSET,0.0013690460749263785,0.0016517739444746227
Angle (degrees) Nose-Tail_base-Tail_end_FEATURE_SUBSET,0.0013601582568190536,0.0020458172014763878
Total_angle_deviation,0.0013551992343200528,0.001930227495136235
Mouse1_smallest_euclid_distances_mean_15_deviation,0.0013395985143321953,0.0013431756678076348
Animal_1 four-point convex perimeter (mm) Ear_right-Nose-Center-Lat_left_FEATURE_SUBSET,0.001338924190077718,0.003964221647244578
L Animal_1 Lat_right in zone,0.0013372522101218062,0.006148135473693951
Tail_end_movement_M1_mean_15,0.0013324820163918595,0.0014655545536426105
Animal_1 four-point convex perimeter (mm) Ear_left-Nose-Lat_left-Lat_right_FEATURE_SUBSET,0.0013298581493885562,0.003845473540762174
Angle (degrees) Ear_right-Nose-Tail_end_FEATURE_SUBSET,0.0013296517546461826,0.0014151271846452517
Nose_movement_M1_mean_15,0.0013250581383433798,0.002292407400052176
Mouse1_mean_euclid_distances_mean_15_percentile_rank,0.0013159832774656932,0.0024252891413251553
Mouse1_width_median_15,0.0013159107914375787,0.0017570562057591548
Animal_1 four-point convex perimeter (mm) Ear_left-Ear_right-Nose-Lat_right_FEATURE_SUBSET,0.0013045897880463178,0.003734821499450096
Animal_1 Lat_right inside circle L (Boolean)_FEATURE_SUBSET,0.0013011341402047274,0.006051730319311648
Distance (mm) Tail_base-Tail_end_FEATURE_SUBSET,0.001292081010585046,0.0018360153737587578
Distance (mm) Lat_right-Nose_FEATURE_SUBSET,0.0012919763281466442,0.0029888761598291444
Nose_movement_M1_sum_15,0.0012751824608968803,0.002654749017658306
Sum_probabilities_deviation_percentile_rank,0.0012742485930828979,0.0016249895920276295
Angle (degrees) Nose-Lat_left-Tail_end_FEATURE_SUBSET,0.0012652369784175404,0.0023837851046838152
Tail_end_movement_M1_sum_15,0.0012626281273776458,0.0013031662841780783
Animal_1 four-point convex perimeter (mm) Ear_left-Nose-Center-Lat_left_FEATURE_SUBSET,0.0012584588718222616,0.0036718187081287517
Nose_movement_M1_mean_6,0.0012531587749911443,0.0019296352859947137
Animal_1 three-point convex hull perimeter (mm) Nose-Lat_left-Lat_right_FEATURE_SUBSET,0.0012460868412499165,0.002856148977181778
Animal_1 four-point convex perimeter (mm) Ear_left-Nose-Center-Lat_right_FEATURE_SUBSET,0.0012453612670391776,0.003684403775758684
Sum_probabilities_percentile_rank,0.0012432235201696828,0.00161601103702642
Mouse1_smallest_euclid_distances_median_15,0.0012411562044966097,0.0014839686772166513
Nose_movement_M1_mean_7.5,0.0012237248527829244,0.0016317903824423735
Angle (degrees) Nose-Center-Tail_base_FEATURE_SUBSET,0.0012200564074880908,0.0017900430948600608
Nose_movement_M1_sum_7.5,0.0012189341252909032,0.0017121229717740752
Animal_1 three-point convex hull perimeter (mm) Ear_left-Nose-Center_FEATURE_SUBSET,0.0012172283183374147,0.0031928706896990513
Animal_1 four-point convex perimeter (mm) Ear_right-Nose-Center-Lat_right_FEATURE_SUBSET,0.0012134203720830339,0.003343360044312158
Angle (degrees) Ear_left-Tail_base-Tail_end_FEATURE_SUBSET,0.0012078912308106718,0.0015855495556822328
Nose_movement_M1_mean_5,0.001206969162939807,0.0017210162250964314
Angle (degrees) Nose-Center-Tail_end_FEATURE_SUBSET,0.00120678775309576,0.0021822062220836374
Nose_movement_M1_sum_6,0.0012029844685997164,0.0017348778712007438
Animal_1 four-point convex perimeter (mm) Ear_left-Ear_right-Nose-Center_FEATURE_SUBSET,0.0011982166800552413,0.0034875428317634165
Mouse_angle,0.0011958338704461116,0.0018322729478078992
Mouse1_mean_euclid_distances_mean_15,0.0011951150538064275,0.0022158391132529763
Angle (degrees) Ear_right-Tail_base-Tail_end_FEATURE_SUBSET,0.0011905579034522005,0.001722806677490943
Angle (degrees) Lat_right-Tail_base-Tail_end_FEATURE_SUBSET,0.0011875156465077734,0.0014856447658967572
Distance (mm) Tail_base-Lat_left_FEATURE_SUBSET,0.001185820273980644,0.0014270775455494655
Angle (degrees) Center-Tail_base-Tail_end_FEATURE_SUBSET,0.0011844819594705625,0.0013536575131972066
Mouse_Nose_to_lateral_right,0.0011804485182993927,0.00211205355458373
Total_movement_M1_median_15,0.001170256588895586,0.0016708166146843987
Angle (degrees) Center-Lat_right-Tail_end_FEATURE_SUBSET,0.0011647020389953528,0.0016576035782715761
Distance (mm) Nose-Center_FEATURE_SUBSET,0.0011636964288857785,0.0026508832560504336
Animal_1 three-point convex hull perimeter (mm) Center-Lat_left-Tail_base_FEATURE_SUBSET,0.0011603931420655807,0.0014193641300233996
Angle (degrees) Ear_left-Center-Tail_end_FEATURE_SUBSET,0.0011572984831162056,0.0020452499690007528
Angle (degrees) Nose-Lat_right-Tail_end_FEATURE_SUBSET,0.0011565113157217643,0.001964175311989498
Distance (mm) Nose-Tail_base_FEATURE_SUBSET,0.0011505679004617923,0.002680452415868094
Mouse1_mean_euclid_distances_sum_15,0.0011504333589787475,0.00223806322900912
Mouse1_smallest_euclid_distances_mean_15,0.0011426856015281624,0.0013611122670341657
Mouse_nose_to_tail,0.0011424969027679797,0.0027872865811939154
Angle (degrees) Ear_left-Lat_right-Tail_end_FEATURE_SUBSET,0.0011416577683494948,0.0016802891522204367
Animal_1 three-point convex hull perimeter (mm) Ear_right-Nose-Center_FEATURE_SUBSET,0.0011411946179086536,0.0025947814933797624
Animal_1 three-point convex hull perimeter (mm) Nose-Center-Lat_left_FEATURE_SUBSET,0.0011328364298482671,0.0024037579145288206
Angle (degrees) Nose-Lat_right-Tail_base_FEATURE_SUBSET,0.0011323488239154773,0.0015558386234272197
Nose_movement_M1_sum_5,0.001132323250239534,0.0016621547604818727
Animal_1 four-point convex perimeter (mm) Ear_right-Nose-Lat_left-Lat_right_FEATURE_SUBSET,0.001131326626224317,0.0030672016571523675
Distance (mm) Tail_base-Ear_left_FEATURE_SUBSET,0.0011247368135393686,0.0018693315479846137
Animal_1 four-point convex perimeter (mm) Nose-Center-Lat_left-Lat_right_FEATURE_SUBSET,0.0011204427226132992,0.0027973172126404817
Angle (degrees) Ear_right-Center-Lat_left_FEATURE_SUBSET,0.001118399912663934,0.0015476760736960323
Animal_1 three-point convex hull perimeter (mm) Ear_right-Lat_right-Tail_base_FEATURE_SUBSET,0.0011100342751372478,0.001521659065260902
Distance (mm) Lat_right-Ear_right_FEATURE_SUBSET,0.0011091229301648045,0.0014583584888699529
Mouse1_smallest_euclid_distances_sum_15,0.001105887431332294,0.0012561914764489218
Centroid_movement_M1_mean_15,0.0011055769391671495,0.0014891656549276037
Angle (degrees) Ear_right-Center-Tail_end_FEATURE_SUBSET,0.00109964709377694,0.0017711167821764238
Distance (mm) Tail_base-Center_FEATURE_SUBSET,0.001097317792101452,0.0013514144768270375
Centroid_movement_M1_sum_15,0.001093643089223735,0.001413042704754904
