FEATURE,FEATURE_IMPORTANCE_MEAN,FEATURE_IMPORTANCE_STDEV
Animal_1 Nose to R center distance (mm)_FEATURE_SUBSET,0.06580795552823913,0.11700240539760284
R Animal_1 Nose distance,0.06531828438065847,0.11742756234473807
R Animal_1 Nose in zone,0.04521336843361645,0.10036372497329464
Animal_1 Nose inside circle R (Boolean)_FEATURE_SUBSET,0.04459006859359456,0.10319673210621709
R Animal_1 Ear_right distance,0.04411092121770241,0.09923272187300719
Animal_1 Ear_right to R center distance (mm)_FEATURE_SUBSET,0.0382175547574454,0.09102764480797484
R Animal_1 Ear_left distance,0.03445482199820205,0.0820942976347104
Animal_1 Ear_left to R center distance (mm)_FEATURE_SUBSET,0.034142981023286334,0.08277422399303398
Animal_1 Ear_left inside circle R (Boolean)_FEATURE_SUBSET,0.021361011174570173,0.06895098600326037
Animal_1 Ear_right inside circle R (Boolean)_FEATURE_SUBSET,0.02068794764197701,0.0676049217082288
R Animal_1 Ear_right in zone,0.019044987757567553,0.06380923542426255
R Animal_1 Ear_left in zone,0.018837466283805386,0.06346316246102986
Animal_1 Nose to L center distance (mm)_FEATURE_SUBSET,0.009812152814389428,0.016866203833947088
L Animal_1 Nose distance,0.009424415721464881,0.0172214399532186
R Animal_1 facing,0.008204813617140086,0.019515953182204695
R Animal_1 Tail_base distance,0.008069478754422953,0.01457080303090848
L Animal_1 Ear_right distance,0.007738333518532875,0.016174336189174857
L Animal_1 Ear_left distance,0.007591061960987799,0.015040653157190425
Animal_1 Tail_base to R center distance (mm)_FEATURE_SUBSET,0.0075793329390569306,0.012218320519908671
R Animal_1 Lat_left distance,0.007442413753518347,0.017929688224174643
Animal_1 Ear_right to L center distance (mm)_FEATURE_SUBSET,0.007428603625273174,0.015046074402908526
Animal_1 Ear_left to L center distance (mm)_FEATURE_SUBSET,0.007287018907820802,0.01477654366542464
Animal_1 Lat_left to R center distance (mm)_FEATURE_SUBSET,0.007133947619794744,0.01786401349379762
Animal_1 Lat_right to R center distance (mm)_FEATURE_SUBSET,0.0070604997973224785,0.02067737782606886
R Animal_1 Center distance,0.006876360046917396,0.01794563607092799
Animal_1 Center to R center distance (mm)_FEATURE_SUBSET,0.0064292948350816595,0.01586262996798574
R Animal_1 Lat_right distance,0.0062066203375993,0.018615315725995084
L Animal_1 Lat_left distance,0.0042120166999301215,0.007665909073871935
Animal_1 three-point convex hull perimeter (mm) Ear_left-Ear_right-Nose_FEATURE_SUBSET,0.004202766703147665,0.010785046255650849
Animal_1 Lat_left to L center distance (mm)_FEATURE_SUBSET,0.00410774228349121,0.007153882661313644
R Animal_1 Tail_end distance,0.003808688686494588,0.005750053154613198
Animal_1 Tail_end to R center distance (mm)_FEATURE_SUBSET,0.0037936925365154627,0.005453260633698217
Animal_1 Center to L center distance (mm)_FEATURE_SUBSET,0.0035820778469359553,0.00753410274017912
L Animal_1 Center distance,0.003220037361080194,0.006195255812344624
L Animal_1 Lat_right distance,0.0031520917713012183,0.006491409466421886
Distance (mm) Nose-Ear_left_FEATURE_SUBSET,0.0030766242098467446,0.008508726714036881
Animal_1 Lat_right to L center distance (mm)_FEATURE_SUBSET,0.003075331025910135,0.006703150377361276
Distance (mm) Nose-Ear_right_FEATURE_SUBSET,0.002861001881641055,0.007438567192875562
Animal_1 Tail_base to L center distance (mm)_FEATURE_SUBSET,0.002821423808429072,0.004615074702126256
L Animal_1 Tail_base distance,0.002738229348146724,0.0041279462949003224
