VIDEO,ANIMAL,BODY-PART,SHAPE,SHAPE TYPE,MEASUREMENT,VALUE,
Dory_OpenField_rat01,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),6.522609044,
Dory_OpenField_rat01,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),593.557423,
Dory_OpenField_rat02,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),9.523809524,
Dory_OpenField_rat02,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),590.5562225,
Dory_OpenField_rat03,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),3.601440576,
Dory_OpenField_rat03,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),596.5186074,
Dory_OpenField_rat04,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),31.29251701,
Dory_OpenField_rat04,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),568.787515,
Dory_OpenField_rat05,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),22.4889956,
Dory_OpenField_rat05,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),577.5910364,
Dory_OpenField_rat06,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),15.36614646,
Dory_OpenField_rat06,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),584.7138856,
Dory_OpenField_rat07,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),14.28571429,
Dory_OpenField_rat07,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),585.7943177,
Dory_OpenField_rat08,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),8.083233293,
Dory_OpenField_rat08,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),591.9967987,
Dory_OpenField_rat09,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),7.643057223,
Dory_OpenField_rat09,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),592.4769908,
Dory_OpenField_rat10,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),5.162064826,
Dory_OpenField_rat10,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),594.9179672,
Dory_OpenField_rat11,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),5.242096839,
Dory_OpenField_rat11,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),594.8779512,
Dory_OpenField_rat12,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),5.882352941,
Dory_OpenField_rat12,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),587.0348139,
Dory_OpenField_rat13,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),11.08443377,
Dory_OpenField_rat13,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),589.0356142,
Dory_OpenField_rat14,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),16.80672269,
Dory_OpenField_rat14,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),583.2733093,
Dory_OpenField_rat15,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),5.362144858,
