timepoint,Treatment,Sex,mean_value,n,std_dev,se,colour_group
1,ASO,F,10.4375,8,5.493096316546538,1.9421028275704513,F.ASO
1,ASO,M,11.625,8,4.34042460069124,1.5345718341888444,M.ASO
1,Control,F,6.875,8,4.940720016932176,1.7468083139584278,F.Control
1,Control,M,11.6875,8,4.275657844121768,1.5116733278059782,M.Control
2,ASO,F,6.9375,8,4.4032252789452935,1.556775226917122,F.ASO
2,ASO,M,6.375,8,3.8890872965260113,1.3749999999999998,M.ASO
2,Control,F,7.8125,8,4.070253589853375,1.439051957267105,F.Control
2,Control,M,6.5,8,2.5634797778466227,0.9063269671749656,M.Control
3,ASO,F,5.125,8,2.416461403433896,0.8543481224218347,F.ASO
3,ASO,M,6.875,8,5.125217765408329,1.8120381184889964,M.ASO
3,Control,F,5.5,8,2.632217967526897,0.9306295871996701,F.Control
3,Control,M,8.1875,8,5.9157024700609915,2.091516666031068,M.Control
4,ASO,F,2.9375,8,3.155918476223907,1.1157856777049204,F.ASO
4,ASO,M,3.625,8,2.7091116097875543,0.9578155951359918,M.ASO
4,Control,F,4.25,8,3.494894235064305,1.2356317065718707,F.Control
4,Control,M,5.25,8,3.12821263435117,1.1059901833715728,M.Control
5,ASO,F,5,8,4.0178174601214955,1.42051298581081,F.ASO
5,ASO,M,3.8125,8,3.1952811188644152,1.1297024734731833,M.ASO
5,Control,F,4.6875,8,3.5850632590553504,1.2675112707303913,F.Control
5,Control,M,5.5625,8,4.370661113770842,1.5452620559078551,M.Control
Test,ASO,F,5,8,5.1269595556932455,1.8126539343499313,F.ASO
Test,ASO,M,3,8,4.20883424647321,1.4880476182856899,M.ASO
Test,Control,F,2.75,8,3.1959796173138706,1.1299494299683124,F.Control
Test,Control,M,2.75,8,1.9086270308410553,0.674801558131828,M.Control
