timepoint,Treatment,Sex,mean_value,n,std_dev,se,colour_group
1,ASO,F,10.875,8,5.636298177248711,1.9927323309609704,F.ASO
1,ASO,M,15,8,10.980502200328935,3.882193783343198,M.ASO
1,Control,F,7.0625,8,5.031596594095585,1.7789380359400622,F.Control
1,Control,M,12.375,8,4.454131308603925,1.574773226304573,M.Control
2,ASO,F,9.8125,8,7.6388924963916445,2.700756342476783,F.ASO
2,ASO,M,6.8125,8,3.972562145517676,1.4045128158902644,M.ASO
2,Control,F,10,8,5.230405611149374,1.8492276379999453,F.Control
2,Control,M,7.875,8,5.343554194407635,1.8892317032517287,M.Control
3,ASO,F,7.4375,8,6.327025367421882,2.23694127102166,F.ASO
3,ASO,M,8.875,8,5.201304781357408,1.8389389409579178,M.ASO
3,Control,F,7.5625,8,5.473556561192313,1.9351944808136021,F.Control
3,Control,M,9.8125,8,7.318945571987421,2.58763802254378,M.Control
4,ASO,F,5.875,8,7.414994461032514,2.6215964329283894,F.ASO
4,ASO,M,7.8125,8,5.20259207373731,1.839394067543517,M.ASO
4,Control,F,4.3125,8,3.5044614422190468,1.239014225099938,F.Control
4,Control,M,12.6875,8,8.717541838975349,3.082116474808457,M.Control
5,ASO,F,7.375,8,4.657942525560891,1.6468313731006496,F.ASO
5,ASO,M,11.0625,8,5.088063763077548,1.7989021949908384,M.ASO
5,Control,F,4.9375,8,3.5999751983272645,1.2727834374202975,F.Control
5,Control,M,10.125,8,12.614475811542864,4.459890693727818,M.Control
Test,ASO,F,18.25,8,5.203021100421233,1.839545751382273,F.ASO
Test,ASO,M,17.875,8,5.540435774506241,1.9588398534409521,M.ASO
Test,Control,F,12.75,8,4.026696625558687,1.4236522448567677,F.Control
Test,Control,M,15.125,8,4.823676724538776,1.7054272610865413,M.Control
