timepoint,Treatment,Sex,mean_value,n,std_dev,se,colour_group
1,ASO,F,40.22,8,35.35354336656268,12.499365126734578,F.ASO
1,ASO,M,57.0475,8,24.185064901416208,8.55071169761408,M.ASO
1,Control,F,31.855,8,19.335760356692173,6.836223633807526,F.Control
1,Control,M,61.99375,8,37.97373187481051,13.42574165781913,M.Control
2,ASO,F,16.0625,8,6.296052618222673,2.225990750526284,F.ASO
2,ASO,M,20.60375,8,11.991708966138704,4.2397093639861,M.ASO
2,Control,F,33.285,8,26.07561258012113,9.219121239498449,F.Control
2,Control,M,25.5825,8,14.35599401942319,5.075610360903829,M.Control
3,ASO,F,13.4075,8,7.25568890103286,2.5652734120501517,F.ASO
3,ASO,M,18.4125,8,14.091014107275196,4.981925814524798,M.ASO
3,Control,F,16.650000000000002,8,4.768575708292183,1.6859461099674233,F.Control
3,Control,M,26.9425,8,29.223815019359023,10.33217888616502,M.Control
4,ASO,F,9.5525,8,8.833339038632479,3.123056967368442,F.ASO
4,ASO,M,13.0225,8,10.415386626113722,3.6823952560023443,M.ASO
4,Control,F,20.43,8,16.97493614547216,6.001546229335999,F.Control
4,Control,M,11.217500000000001,8,5.767479642666407,2.039111982842391,M.Control
5,ASO,F,21.48,8,28.040821263701556,9.913927432801652,F.ASO
5,ASO,M,9.675,8,5.117049931356934,1.8091503530663229,M.ASO
5,Control,F,25.810000000000002,8,20.616642375933644,7.289083814660307,F.Control
5,Control,M,18.3525,8,18.050728319298997,6.381896199966186,M.Control
Test,ASO,F,15.805,8,13.227666892864042,4.676686479610476,F.ASO
Test,ASO,M,9.185,8,10.123713322125012,3.579273170431593,M.ASO
Test,Control,F,10.665,8,11.918963281858272,4.213989880657725,F.Control
Test,Control,M,10.629999999999999,8,8.124565922470653,2.8724678289880683,M.Control
