timepoint,Treatment,Sex,mean_value,n,std_dev,se,colour_group
1,ASO,F,47.334999999999994,8,37.16830869744508,13.140981562599173,F.ASO
1,ASO,M,81.2325,8,44.80077414828581,15.839465601329934,M.ASO
1,Control,F,38.8875,8,23.30987267845353,8.241284519764761,F.Control
1,Control,M,75.4675,8,39.932857845567305,14.118397287379533,M.Control
2,ASO,F,40.754999999999995,8,52.58688456803111,18.5922713397645,F.ASO
2,ASO,M,27.54,8,10.613032419759072,3.7522735964821563,M.ASO
2,Control,F,50.7175,8,42.52485449710557,15.0348064919373,F.Control
2,Control,M,43.615,8,43.93885979403653,15.53473285898409,M.Control
3,ASO,F,38.057500000000005,8,36.648167270488635,12.957083797510698,F.ASO
3,ASO,M,43.8025,8,56.50520222573696,19.977605833067898,M.ASO
3,Control,F,37.0675,8,35.18890074603476,12.44115517001077,F.Control
3,Control,M,52.6225,8,61.47950965275225,21.73628908974246,M.Control
4,ASO,F,33.9675,8,43.98025782747788,15.549369274071172,F.ASO
4,ASO,M,60.2325,8,61.18084941968594,21.630696751706488,M.ASO
4,Control,F,27.3325,8,18.97019598513114,6.706977110762024,F.Control
4,Control,M,71.64,8,59.81487153829603,21.14775064026567,M.Control
5,ASO,F,49.347500000000004,8,59.27190704107398,20.95578370130104,F.ASO
5,ASO,M,82.3475,8,75.25694951298519,26.607349666022735,M.ASO
5,Control,F,35.7975,8,26.521002862960195,9.376590484133496,F.Control
5,Control,M,53.5025,8,54.09556774819911,19.12567139344394,M.Control
Test,ASO,F,90.08,8,0,0,F.ASO
Test,ASO,M,90.08,8,0,0,M.ASO
Test,Control,F,90.08,8,0,0,F.Control
Test,Control,M,90.08,8,0,0,M.Control
