timepoint,Treatment,Sex,mean_value,n,std_dev,se,colour_group
1,ASO,F,4.386667566764773,8,2.426485212954242,0.857892074264414,F.ASO
1,ASO,M,5.604970963017353,8,2.2212516987726367,0.7853310694621348,M.ASO
1,Control,F,3.8237240400596058,8,2.183691010612484,0.7720513608100962,F.Control
1,Control,M,6.481453597548425,8,3.7303025452390117,1.3188611128079715,M.Control
2,ASO,F,2.80404703460042,8,1.0150131960950814,0.3588613569763315,F.ASO
2,ASO,M,2.657644927392043,8,0.9764178355271614,0.34521583638637343,M.ASO
2,Control,F,3.839451273058508,8,2.4096268318093577,0.8519317364507265,F.Control
2,Control,M,3.007014710889448,8,0.9834140005985107,0.3476893542684992,M.Control
3,ASO,F,2.4867712325190037,8,1.0241613843731716,0.3620957299598359,F.ASO
3,ASO,M,2.872255349811076,8,1.8033991191108214,0.6375978731545541,M.ASO
3,Control,F,2.461612224657316,8,0.4708525718002082,0.16647152322952646,F.Control
3,Control,M,3.021421491021264,8,1.8180016113453792,0.6427606337951939,M.Control
4,ASO,F,1.6706347085150397,8,0.9785491375092077,0.34596936542850404,F.ASO
4,ASO,M,2.3195889166858543,8,1.2604198552933963,0.4456257134100637,M.ASO
4,Control,F,2.710162378347896,8,1.5512186946912385,0.5484386290597597,F.Control
4,Control,M,2.250801577809225,8,0.6477118165859026,0.2290007088812745,M.Control
5,ASO,F,2.383995651236604,8,1.815646721128922,0.6419280543746905,F.ASO
5,ASO,M,1.7294382021808112,8,0.7026679881320973,0.24843064966545722,M.ASO
5,Control,F,2.9277008417430563,8,2.04743613267215,0.7238779867294185,F.Control
5,Control,M,2.5856672013808644,8,1.6356864371875923,0.5783024858151051,M.Control
Test,ASO,F,2.3048205886286386,8,1.5179712693762335,0.5366838891111431,F.ASO
Test,ASO,M,1.5841792116463407,8,1.1311348982922347,0.3999165785095974,M.ASO
Test,Control,F,1.774989778071491,8,1.7998964803929034,0.6363595033598108,F.Control
Test,Control,M,1.692135768312744,8,1.09328628903853,0.38653507437871015,M.Control
