timepoint,Treatment,Sex,mean_value,n,std_dev,se,colour_group
1,ASO,F,4.825349372028237,8,2.5635271972468447,0.906343732464694,F.ASO
1,ASO,M,7.693861343347235,8,4.581162944675478,1.6196856919502816,M.ASO
1,Control,F,4.308965557104717,8,2.4003544141527287,0.8486534417492284,F.Control
1,Control,M,7.245585070299855,8,3.6711077076913408,1.2979325772873744,M.Control
2,ASO,F,4.660672261978549,8,3.7470357240544643,1.3247771849135783,F.ASO
2,ASO,M,3.220546248703897,8,0.9338539591117475,0.3301672335629108,M.ASO
2,Control,F,5.537564553085134,8,3.9707664813920567,1.403877952750285,F.Control
2,Control,M,4.249046837843844,8,3.085254577062736,1.090802216563947,M.Control
3,ASO,F,4.315558506323195,8,3.142682611888127,1.1111060929915726,F.ASO
3,ASO,M,5.456576084571441,8,6.0356709037254515,2.133931912517302,M.ASO
3,Control,F,4.402631820660984,8,3.5039647328773165,1.23883861182803,F.Control
3,Control,M,4.636282184622931,8,3.612248430620099,1.2771226803109679,M.Control
4,ASO,F,3.361793112767582,8,3.169204747779145,1.1204830840616176,F.ASO
4,ASO,M,6.779196052105651,8,5.66878858092169,2.004219423341296,M.ASO
4,Control,F,3.104841758874571,8,1.6825316879081715,0.5948647830405579,F.Control
4,Control,M,7.907624802138744,8,5.9485923481689085,2.1031449939523217,M.Control
5,ASO,F,4.268504563232431,8,3.6896344646516686,1.3044827750273957,F.ASO
5,ASO,M,8.253152193768432,8,6.693794120471381,2.3666136072259776,M.ASO
5,Control,F,3.53578286993082,8,2.27281697808794,0.8035621488009496,F.Control
5,Control,M,5.448445417079513,8,4.981680054293236,1.7612898740462575,M.Control
Test,ASO,F,9.569942782873314,8,0.931977179055881,0.3295036916107613,F.ASO
Test,ASO,M,9.75456827935202,8,1.1966957392638722,0.42309583612526624,M.ASO
Test,Control,F,9.209473225074001,8,2.286348798437282,0.8083463697663584,F.Control
Test,Control,M,9.683779022779675,8,1.1684299294672056,0.41310236323379024,M.Control
