timepoint,Treatment,Sex,mean_value,n,std_dev,se,colour_group
1,ASO,F,4.25,8,1.889822365046136,0.6681531047810609,F.ASO
1,ASO,M,3.375,8,2.117107190754133,0.7485104255405244,M.ASO
1,Control,F,4.5,8,2.187627547301936,0.7734431367038469,F.Control
1,Control,M,3.5,8,1.4142135623730951,0.5,M.Control
2,ASO,F,5.5625,8,1.8212534929861592,0.6439103475750997,F.ASO
2,ASO,M,5.1875,8,2.0343040227908062,0.7192350847552259,M.ASO
2,Control,F,4.125,8,2.748376143938713,0.9716977043151993,F.Control
2,Control,M,5.6875,8,1.032939633141398,0.3651993095753136,M.Control
3,ASO,F,6.5,8,2.1712405933672376,0.7676494735787384,F.ASO
3,ASO,M,6.375,8,3.1367635732209265,1.1090133968017313,M.ASO
3,Control,F,4.5625,8,2.0430631764233684,0.7223319132207457,F.Control
3,Control,M,5.5625,8,2.6917532788659724,0.9516784983836264,M.Control
4,ASO,F,7.75,8,2.6049403612586386,0.9209854970162591,F.ASO
4,ASO,M,7.5,8,2.866057521105554,1.0133043542222218,M.ASO
4,Control,F,5.625,8,2.5035688811888406,0.8851452665281235,F.Control
4,Control,M,7,8,2.104417123236605,0.7440238091428449,M.Control
5,ASO,F,7.125,8,1.941096891671599,0.6862813875205583,F.ASO
5,ASO,M,8.25,8,2.220038609702865,0.7849021777084254,M.ASO
5,Control,F,6.4375,8,2.59721691706444,0.9182548471343421,F.Control
5,Control,M,6.375,8,3.3031370370776756,1.1678352990530323,M.Control
Test,ASO,F,7.375,8,3.1594529363709247,1.1170352980738152,F.ASO
Test,ASO,M,8.875,8,2.2320714274285347,0.7891564212137268,M.ASO
Test,Control,F,7.25,8,3.882193783343198,1.3725627750411167,F.Control
Test,Control,M,7.875,8,2.997022331772464,1.059607407081914,M.Control
