"","RatID","Sex","Treatment","novel","familiar","DI","exploration","st"
"1","rat01","M","Control",13.25,20.292,-0.209945739669668,33.542,"M Control"
"2","rat02","M","Control",17.958,36.25,-0.337440968122786,54.208,"M Control"
"3","rat03","M","Control",14.208,41.167,-0.486844243792325,55.375,"M Control"
"4","rat04","M","Control",12.792,18.417,-0.180236470248967,31.209,"M Control"
"5","rat05","F","Control",30.083,20.833,0.181671773116506,50.916,"F Control"
"6","rat07","F","Control",23.042,13.958,0.245513513513514,37,"F Control"
"7","rat08","F","Control",41,24.708,0.24794545565228,65.708,"F Control"
"8","rat09","M","ASO",11.75,16.458,-0.166903006239365,28.208,"M ASO"
"9","rat12","M","ASO",28.708,25.292,0.0632592592592592,54,"M ASO"
"10","rat13","F","ASO",27.542,37.5,-0.153101073152732,65.042,"F ASO"
"11","rat14","F","ASO",58.917,50.542,0.0765126668432929,109.459,"F ASO"
"12","rat15","F","ASO",47.458,54.292,-0.0671646191646192,101.75,"F ASO"
"13","rat16","F","ASO",34.375,56.458,-0.243116488500875,90.833,"F ASO"
"14","rat17","M","Control",22.083,24.25,-0.04677012064835,46.333,"M Control"
"15","rat18","M","Control",41.5,24.375,0.259962049335863,65.875,"M Control"
"16","rat19","M","Control",28.958,36.958,-0.121366587778385,65.916,"M Control"
"17","rat20","M","Control",36.458,15.417,0.405609638554217,51.875,"M Control"
"18","rat21","F","Control",14.125,23.917,-0.257399716103254,38.042,"F Control"
"19","rat22","F","Control",4.625,18.042,-0.591917765915207,22.667,"F Control"
"20","rat23","F","Control",44.375,37.083,0.0895185248839893,81.458,"F Control"
"21","rat24","F","Control",20.542,23.125,-0.0591522202120594,43.667,"F Control"
"22","rat25","M","ASO",41.542,42.708,-0.0138397626112759,84.25,"M ASO"
"23","rat26","M","ASO",32.5,32.792,-0.00447221711695157,65.292,"M ASO"
"24","rat28","M","ASO",42.333,45.375,-0.034683267204816,87.708,"M ASO"
"25","rat29","F","ASO",25.083,21.292,0.0817466307277627,46.375,"F ASO"
"26","rat30","F","ASO",40,65.042,-0.23839987814398,105.042,"F ASO"
"27","rat32","F","ASO",5.792,26.125,-0.637058620797694,31.917,"F ASO"
