"","RatID","Sex","Treatment","familiar","novel","DI","exploration","st"
"1","rat02","M","Control",27.167,13.708,-0.329272171253823,40.875,"M Control"
"2","rat03","M","Control",5.833,39.958,0.74523377956367,45.791,"M Control"
"3","rat04","M","Control",16.25,36.792,0.387278006108367,53.042,"M Control"
"4","rat05","F","Control",27.333,35.583,0.131127217242037,62.916,"F Control"
"5","rat06","F","Control",16.458,17.833,0.0400979848939955,34.291,"F Control"
"6","rat07","F","Control",28,30.167,0.0372548008320869,58.167,"F Control"
"7","rat08","F","Control",38.417,29.583,-0.129911764705882,68,"F Control"
"8","rat09","M","ASO",15.958,108.042,0.742612903225807,124,"M ASO"
"9","rat10","M","ASO",14.958,25.375,0.258274861775717,40.333,"M ASO"
"10","rat11","M","ASO",31.917,62.75,0.325699557395925,94.667,"M ASO"
"11","rat12","M","ASO",28.292,18.708,-0.203914893617021,47,"M ASO"
"12","rat13","F","ASO",17.792,18.375,0.0161196670998424,36.167,"F ASO"
"13","rat15","F","ASO",23.083,37.833,0.242136712850483,60.916,"F ASO"
"14","rat16","F","ASO",14.917,21.542,0.181710962999534,36.459,"F ASO"
"15","rat17","M","Control",8.792,26.458,0.501163120567376,35.25,"M Control"
"16","rat19","M","Control",50.458,20.25,-0.427221813656163,70.708,"M Control"
"17","rat20","M","Control",8.1,16.567,0.343252118214619,24.667,"M Control"
"18","rat21","F","Control",18.5,22.583,0.0993841735024219,41.083,"F Control"
"19","rat22","F","Control",11.625,10.583,-0.0469200288184438,22.208,"F Control"
"20","rat23","F","Control",49.75,60.542,0.0978493453740979,110.292,"F Control"
"21","rat24","F","Control",83.083,53.292,-0.21844912923923,136.375,"F Control"
"22","rat25","M","ASO",10.958,35.792,0.531208556149733,46.75,"M ASO"
"23","rat26","M","ASO",14.667,23.5,0.231430293185212,38.167,"M ASO"
"24","rat27","M","ASO",27.375,16.125,-0.258620689655172,43.5,"M ASO"
"25","rat28","M","ASO",22.167,28.417,0.123556855922821,50.584,"M ASO"
"26","rat29","F","ASO",8.375,6.25,-0.145299145299145,14.625,"F ASO"
"27","rat30","F","ASO",25.333,23.458,-0.0384292185034125,48.791,"F ASO"
"28","rat32","F","ASO",27.208,32.792,0.0930666666666667,60,"F ASO"
