"","RatID","Sex","Treatment","novel","familiar","DI","exploration","st"
"1","rat01","M","Control",18,21.958,-0.0990540067070424,39.958,"M Control"
"2","rat02","M","Control",35.125,44.458,-0.117273789628438,79.583,"M Control"
"3","rat03","M","Control",62.333,63.292,-0.00763383084577117,125.625,"M Control"
"4","rat04","M","Control",43.458,28.917,0.200911917098446,72.375,"M Control"
"5","rat05","F","Control",39.958,41.792,-0.022434250764526,81.75,"F Control"
"6","rat06","F","Control",25.625,34.5,-0.147609147609148,60.125,"F Control"
"7","rat07","F","Control",29.5,44.875,-0.20672268907563,74.375,"F Control"
"8","rat08","F","Control",53.125,53.042,0.000781787184341635,106.167,"F Control"
"9","rat09","M","ASO",49.417,51.75,-0.023060879535817,101.167,"M ASO"
"10","rat10","M","ASO",28.458,28.042,0.00736283185840702,56.5,"M ASO"
"11","rat11","M","ASO",49.75,53.917,-0.0401960122314719,103.667,"M ASO"
"12","rat12","M","ASO",36.917,27.375,0.14841659926585,64.292,"M ASO"
"13","rat13","F","ASO",16.875,25.167,-0.197231340088483,42.042,"F ASO"
"14","rat14","F","ASO",33.625,38.292,-0.0648942530973205,71.917,"F ASO"
"15","rat15","F","ASO",71.917,67.333,0.03291921005386,139.25,"F ASO"
"16","rat16","F","ASO",15.75,32.583,-0.348271367388741,48.333,"F ASO"
"17","rat17","M","Control",45.708,31.958,0.17704014626735,77.666,"M Control"
"18","rat18","M","Control",43,33.917,0.118088328977989,76.917,"M Control"
"19","rat20","M","Control",35.625,27.083,0.136218664285259,62.708,"M Control"
"20","rat21","F","Control",39,66.667,-0.261831981602582,105.667,"F Control"
"21","rat22","F","Control",31.542,40.75,-0.127372323355281,72.292,"F Control"
"22","rat23","F","Control",70.583,66.625,0.0288467144772899,137.208,"F Control"
"23","rat24","F","Control",43.458,43.667,-0.00239885222381639,87.125,"F Control"
"24","rat25","M","ASO",15.292,25.333,-0.247163076923077,40.625,"M ASO"
"25","rat26","M","ASO",22.542,34.375,-0.207899221673665,56.917,"M ASO"
"26","rat27","M","ASO",40.167,53.583,-0.143104,93.75,"M ASO"
"27","rat28","M","ASO",36.792,47.708,-0.129183431952663,84.5,"M ASO"
"28","rat29","F","ASO",26.958,16.25,0.247824476948713,43.208,"F ASO"
"29","rat30","F","ASO",25.583,36.083,-0.170272111049849,61.666,"F ASO"
"30","rat31","F","ASO",23.542,32.333,-0.157333333333333,55.875,"F ASO"
"31","rat32","F","ASO",43.542,24.375,0.282212111842396,67.917,"F ASO"
