"","RatID","Sex","Treatment","familiar","novel","DI","exploration","st"
"1","rat01","M","Control",2.708,37.792,0.866271604938272,40.5,"M Control"
"2","rat03","M","Control",32.917,15.625,-0.356227596720366,48.542,"M Control"
"3","rat04","M","Control",5.042,9.417,0.302579708140259,14.459,"M Control"
"4","rat05","F","Control",16.625,17.5,0.0256410256410256,34.125,"F Control"
"5","rat06","F","Control",20.25,21.625,0.0328358208955224,41.875,"F Control"
"6","rat07","F","Control",17.458,17.208,-0.00721167714763745,34.666,"F Control"
"7","rat08","F","Control",13.25,26.583,0.334722466296789,39.833,"F Control"
"8","rat09","M","ASO",10.042,12.417,0.105748252370987,22.459,"M ASO"
"9","rat10","M","ASO",11.625,21.25,0.29277566539924,32.875,"M ASO"
"10","rat11","M","ASO",41.917,25.833,-0.23740221402214,67.75,"M ASO"
"11","rat12","M","ASO",6.042,24.792,0.608094960108971,30.834,"M ASO"
"12","rat13","F","ASO",18.875,6.833,-0.468414501322546,25.708,"F ASO"
"13","rat14","F","ASO",8.208,8.333,0.00755697962638293,16.541,"F ASO"
"14","rat15","F","ASO",22.458,18.417,-0.0988623853211008,40.875,"F ASO"
"15","rat17","M","Control",14.042,16.208,0.0716033057851239,30.25,"M Control"
"16","rat18","M","Control",8.542,11.333,0.140427672955975,19.875,"M Control"
"17","rat19","M","Control",5.583,5.417,-0.0150909090909091,11,"M Control"
"18","rat20","M","Control",6.125,4.292,-0.175962369204185,10.417,"M Control"
"19","rat22","F","Control",13,13,0,26,"F Control"
"20","rat23","F","Control",8.833,14.917,0.256168421052632,23.75,"F Control"
"21","rat24","F","Control",14.208,24.75,0.270599106730325,38.958,"F Control"
"22","rat25","M","ASO",14.167,13.125,-0.0381796863549758,27.292,"M ASO"
"23","rat26","M","ASO",8.083,12.875,0.228647771733944,20.958,"M ASO"
"24","rat27","M","ASO",6.75,4.583,-0.191211506220771,11.333,"M ASO"
"25","rat28","M","ASO",7.375,7.375,0,14.75,"M ASO"
"26","rat29","F","ASO",7.375,5.958,-0.106277656941424,13.333,"F ASO"
"27","rat30","F","ASO",12,6.417,-0.303143834500733,18.417,"F ASO"
"28","rat31","F","ASO",8.458,5.792,-0.187087719298246,14.25,"F ASO"
"29","rat32","F","ASO",13.458,10.75,-0.11186384666226,24.208,"F ASO"
