"","RatID","Sex","Treatment","Inner","Outer","exploration","percentInner","st"
"1","rat01","M","Control",6.522609044,593.557423,600.080032044,1.08695652174638,"M Control"
"2","rat02","M","Control",9.523809524,590.5562225,600.080032024,1.58708989063964,"M Control"
"3","rat03","M","Control",3.601440576,596.5186074,600.120047976,0.600120024009601,"M Control"
"4","rat04","M","Control",31.29251701,568.787515,600.08003201,5.21472392693755,"M Control"
"5","rat05","F","Control",22.4889956,577.5910364,600.080032,3.74766604465186,"F Control"
"6","rat06","F","Control",15.36614646,584.7138856,600.08003206,2.56068284879434,"F Control"
"7","rat07","F","Control",14.28571429,585.7943177,600.08003199,2.38063483676092,"F Control"
"8","rat08","F","Control",8.083233293,591.9967987,600.080031993,1.34702587355786,"F Control"
"9","rat09","M","ASO",7.643057223,592.4769908,600.120048023,1.27358805095394,"M ASO"
"10","rat10","M","ASO",5.162064826,594.9179672,600.080032026,0.860229394497889,"M ASO"
"11","rat11","M","ASO",5.242096839,594.8779512,600.120048039,0.873508034955588,"M ASO"
"12","rat12","M","ASO",5.882352941,587.0348139,592.917166841,0.992103664722773,"M ASO"
"13","rat13","F","ASO",11.08443377,589.0356142,600.12004797,1.84703607344811,"F ASO"
"14","rat14","F","ASO",16.80672269,583.2733093,600.08003199,2.80074686609137,"F ASO"
"15","rat15","F","ASO",5.362144858,594.7178872,600.080032058,0.893571619040596,"F ASO"
"16","rat16","F","ASO",24.12965186,575.9503802,600.08003206,4.02107228550264,"F ASO"
"17","rat17","M","Control",6.282513005,593.797519,600.080032005,1.0469458522072,"M Control"
"18","rat18","M","Control",1.800720288,598.3193277,600.120047988,0.3000600119988,"M Control"
"19","rat19","M","Control",12.52501,532.5730292,545.0980392,2.29775363315965,"M Control"
"20","rat20","M","Control",25.97038816,545.3381353,571.30852346,4.54577292190851,"M Control"
"21","rat21","F","Control",18.04721889,582.0728291,600.12004799,3.0072681208445,"F Control"
"22","rat22","F","Control",25.73029212,574.3897559,600.12004802,4.28752417202074,"F Control"
"23","rat23","F","Control",10.68427371,589.3957583,600.08003201,1.78047479337255,"F Control"
"24","rat24","F","Control",6.722689076,593.3573429,600.080031976,1.12029874646268,"F Control"
"25","rat25","M","ASO",5.362144858,594.7579032,600.120048058,0.893512035692193,"M ASO"
"26","rat26","M","ASO",26.49059624,573.5894358,600.08003204,4.41451053619364,"M ASO"
"27","rat27","M","ASO",5.322128852,594.7579032,600.080032052,0.886903174198406,"M ASO"
"28","rat28","M","ASO",9.083633453,590.9963986,600.080032053,1.51373699636746,"M ASO"
"29","rat31","F","ASO",0.040016006,600.040016,600.080032006,0.00666844485163604,"F ASO"
"30","rat32","F","ASO",47.33893557,552.7410964,600.08003197,7.88877033861487,"F ASO"
